window_id,window_hour,period_role,interval_start_utc,interval_end_utc,local_date,dam_lz_houston_usd_per_mwh,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_cutoff_utc,forecast_method,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh
2025-01-01_30d_d168_h3,0,context,2024-12-25T03:00:00Z,2024-12-25T04:00:00Z,2024-12-24,27.34,1.0,10495.0,0.8907847551248244,,,,,
2025-01-01_30d_d168_h3,1,context,2024-12-25T04:00:00Z,2024-12-25T05:00:00Z,2024-12-24,24.67,1.0,8769.0,0.9325250010933503,,,,,
2025-01-01_30d_d168_h3,2,context,2024-12-25T05:00:00Z,2024-12-25T06:00:00Z,2024-12-24,21.89,1.0,7433.0,0.9605161141404502,,,,,
2025-01-01_30d_d168_h3,3,context,2024-12-25T06:00:00Z,2024-12-25T07:00:00Z,2024-12-25,22.09,1.0,5867.0,1.0062198761712182,,,,,
2025-01-01_30d_d168_h3,4,context,2024-12-25T07:00:00Z,2024-12-25T08:00:00Z,2024-12-25,21.15,1.0,4703.0,1.0324084629279173,,,,,
2025-01-01_30d_d168_h3,5,context,2024-12-25T08:00:00Z,2024-12-25T09:00:00Z,2024-12-25,20.84,1.0,3921.0,1.0444855892226816,,,,,
2025-01-01_30d_d168_h3,6,context,2024-12-25T09:00:00Z,2024-12-25T10:00:00Z,2024-12-25,20.38,1.0,3493.0,1.0463562650156633,,,,,
2025-01-01_30d_d168_h3,7,context,2024-12-25T10:00:00Z,2024-12-25T11:00:00Z,2024-12-25,20.2,1.0,3041.0,1.0584580867734412,,,,,
2025-01-01_30d_d168_h3,8,context,2024-12-25T11:00:00Z,2024-12-25T12:00:00Z,2024-12-25,24.4,1.0,2397.0,1.073959440814583,,,,,
2025-01-01_30d_d168_h3,9,context,2024-12-25T12:00:00Z,2024-12-25T13:00:00Z,2024-12-25,23.65,1.0,2410.0,1.0776891752866986,,,,,
2025-01-01_30d_d168_h3,10,context,2024-12-25T13:00:00Z,2024-12-25T14:00:00Z,2024-12-25,25.24,74.0,2581.0,1.0787285040687107,,,,,
2025-01-01_30d_d168_h3,11,context,2024-12-25T14:00:00Z,2024-12-25T15:00:00Z,2024-12-25,23.6,1768.0,2575.0,1.0503377609162072,,,,,
2025-01-01_30d_d168_h3,12,context,2024-12-25T15:00:00Z,2024-12-25T16:00:00Z,2024-12-25,20.37,4953.0,2852.0,0.9717841143012469,,,,,
2025-01-01_30d_d168_h3,13,context,2024-12-25T16:00:00Z,2024-12-25T17:00:00Z,2024-12-25,20.54,5940.0,3020.0,0.9563241878349201,,,,,
2025-01-01_30d_d168_h3,14,context,2024-12-25T17:00:00Z,2024-12-25T18:00:00Z,2024-12-25,20.5,6473.0,2747.0,0.9394482700821783,,,,,
2025-01-01_30d_d168_h3,15,context,2024-12-25T18:00:00Z,2024-12-25T19:00:00Z,2024-12-25,18.78,7630.0,2284.0,0.9320129210274025,,,,,
2025-01-01_30d_d168_h3,16,context,2024-12-25T19:00:00Z,2024-12-25T20:00:00Z,2024-12-25,17.45,7716.0,2576.0,0.932913929045675,,,,,
2025-01-01_30d_d168_h3,17,context,2024-12-25T20:00:00Z,2024-12-25T21:00:00Z,2024-12-25,16.6,8256.0,3056.0,0.9063269817011829,,,,,
2025-01-01_30d_d168_h3,18,context,2024-12-25T21:00:00Z,2024-12-25T22:00:00Z,2024-12-25,16.19,8033.0,3755.0,0.8965323023111795,,,,,
2025-01-01_30d_d168_h3,19,context,2024-12-25T22:00:00Z,2024-12-25T23:00:00Z,2024-12-25,20.69,5184.0,4119.0,0.9403655523566332,,,,,
2025-01-01_30d_d168_h3,20,context,2024-12-25T23:00:00Z,2024-12-26T00:00:00Z,2024-12-25,31.37,646.0,4644.0,1.0175329960891453,,,,,
2025-01-01_30d_d168_h3,21,context,2024-12-26T00:00:00Z,2024-12-26T01:00:00Z,2024-12-25,26.2,1.0,6663.0,1.0062697687577256,,,,,
2025-01-01_30d_d168_h3,22,context,2024-12-26T01:00:00Z,2024-12-26T02:00:00Z,2024-12-25,20.2,1.0,8990.0,0.9690601215687668,,,,,
2025-01-01_30d_d168_h3,23,context,2024-12-26T02:00:00Z,2024-12-26T03:00:00Z,2024-12-25,18.94,1.0,11165.0,0.9221558313047881,,,,,
2025-01-01_30d_d168_h3,24,context,2024-12-26T03:00:00Z,2024-12-26T04:00:00Z,2024-12-25,16.04,1.0,12784.0,0.8520756573327009,,,,,
2025-01-01_30d_d168_h3,25,context,2024-12-26T04:00:00Z,2024-12-26T05:00:00Z,2024-12-25,15.87,1.0,12604.0,0.8639911175562051,,,,,
