window_id,window_hour,period_role,interval_start_utc,interval_end_utc,local_date,dam_lz_houston_usd_per_mwh,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_cutoff_utc,forecast_method,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh
2025-04-01_30d_d168_h3,0,context,2025-03-25T02:00:00Z,2025-03-25T03:00:00Z,2025-03-24,101.26,0.0,8466.0,0.8874340104220478,,,,,
2025-04-01_30d_d168_h3,1,context,2025-03-25T03:00:00Z,2025-03-25T04:00:00Z,2025-03-24,49.05,0.0,10559.0,0.8706537923455064,,,,,
2025-04-01_30d_d168_h3,2,context,2025-03-25T04:00:00Z,2025-03-25T05:00:00Z,2025-03-24,37.49,0.0,12817.0,0.8182043812934389,,,,,
2025-04-01_30d_d168_h3,3,context,2025-03-25T05:00:00Z,2025-03-25T06:00:00Z,2025-03-25,30.26,0.0,15569.0,0.7067512022841557,,,,,
2025-04-01_30d_d168_h3,4,context,2025-03-25T06:00:00Z,2025-03-25T07:00:00Z,2025-03-25,26.86,0.0,16395.0,0.6691130757158015,,,,,
2025-04-01_30d_d168_h3,5,context,2025-03-25T07:00:00Z,2025-03-25T08:00:00Z,2025-03-25,24.61,0.0,16699.0,0.6441503949627195,,,,,
2025-04-01_30d_d168_h3,6,context,2025-03-25T08:00:00Z,2025-03-25T09:00:00Z,2025-03-25,23.26,0.0,15886.0,0.6501583216025534,,,,,
2025-04-01_30d_d168_h3,7,context,2025-03-25T09:00:00Z,2025-03-25T10:00:00Z,2025-03-25,23.81,0.0,14896.0,0.6748884436495419,,,,,
2025-04-01_30d_d168_h3,8,context,2025-03-25T10:00:00Z,2025-03-25T11:00:00Z,2025-03-25,26.63,0.0,13874.0,0.7284348751221117,,,,,
2025-04-01_30d_d168_h3,9,context,2025-03-25T11:00:00Z,2025-03-25T12:00:00Z,2025-03-25,29.17,0.0,13183.0,0.7708203747616146,,,,,
2025-04-01_30d_d168_h3,10,context,2025-03-25T12:00:00Z,2025-03-25T13:00:00Z,2025-03-25,28.12,355.0,12716.0,0.7883888729190163,,,,,
2025-04-01_30d_d168_h3,11,context,2025-03-25T13:00:00Z,2025-03-25T14:00:00Z,2025-03-25,24.19,8332.0,11177.0,0.6606409166886803,,,,,
2025-04-01_30d_d168_h3,12,context,2025-03-25T14:00:00Z,2025-03-25T15:00:00Z,2025-03-25,13.62,20762.0,8399.0,0.46765293835740884,,,,,
2025-04-01_30d_d168_h3,13,context,2025-03-25T15:00:00Z,2025-03-25T16:00:00Z,2025-03-25,13.69,24017.0,8799.0,0.3946300705357041,,,,,
2025-04-01_30d_d168_h3,14,context,2025-03-25T16:00:00Z,2025-03-25T17:00:00Z,2025-03-25,20.29,23469.0,9405.0,0.38948907500004815,,,,,
2025-04-01_30d_d168_h3,15,context,2025-03-25T17:00:00Z,2025-03-25T18:00:00Z,2025-03-25,27.53,24104.0,8196.0,0.4287383489423786,,,,,
2025-04-01_30d_d168_h3,16,context,2025-03-25T18:00:00Z,2025-03-25T19:00:00Z,2025-03-25,35.62,24571.0,7519.0,0.4843572959617585,,,,,
2025-04-01_30d_d168_h3,17,context,2025-03-25T19:00:00Z,2025-03-25T20:00:00Z,2025-03-25,42.53,24509.0,7204.0,0.530244712677161,,,,,
2025-04-01_30d_d168_h3,18,context,2025-03-25T20:00:00Z,2025-03-25T21:00:00Z,2025-03-25,54.87,23620.0,7327.0,0.5592752614050713,,,,,
2025-04-01_30d_d168_h3,19,context,2025-03-25T21:00:00Z,2025-03-25T22:00:00Z,2025-03-25,53.99,22342.0,7483.0,0.587328128222152,,,,,
2025-04-01_30d_d168_h3,20,context,2025-03-25T22:00:00Z,2025-03-25T23:00:00Z,2025-03-25,67.32,18907.0,8201.0,0.6273574574271928,,,,,
2025-04-01_30d_d168_h3,21,context,2025-03-25T23:00:00Z,2025-03-26T00:00:00Z,2025-03-25,86.33,8763.0,9893.0,0.7183087411358561,,,,,
2025-04-01_30d_d168_h3,22,context,2025-03-26T00:00:00Z,2025-03-26T01:00:00Z,2025-03-25,155.98,1130.0,12066.0,0.7659414815452578,,,,,
2025-04-01_30d_d168_h3,23,context,2025-03-26T01:00:00Z,2025-03-26T02:00:00Z,2025-03-25,92.15,0.0,15986.0,0.7584911941925342,,,,,
2025-04-01_30d_d168_h3,24,context,2025-03-26T02:00:00Z,2025-03-26T03:00:00Z,2025-03-25,41.1,0.0,20126.0,0.7110521761060768,,,,,
2025-04-01_30d_d168_h3,25,context,2025-03-26T03:00:00Z,2025-03-26T04:00:00Z,2025-03-25,32.48,0.0,22507.0,0.6569391475318115,,,,,
2025-04-01_30d_d168_h3,26,context,2025-03-26T04:00:00Z,2025-03-26T05:00:00Z,2025-03-25,30.16,0.0,22918.0,0.6157497255545266,,,,,
2025-04-01_30d_d168_h3,27,context,2025-03-26T05:00:00Z,2025-03-26T06:00:00Z,2025-03-26,25.6,0.0,22857.0,0.5962983848127814,,,,,
2025-04-01_30d_d168_h3,28,context,2025-03-26T06:00:00Z,2025-03-26T07:00:00Z,2025-03-26,26.09,0.0,22076.0,0.5959740617555701,,,,,
2025-04-01_30d_d168_h3,29,context,2025-03-26T07:00:00Z,2025-03-26T08:00:00Z,2025-03-26,24.11,0.0,20789.0,0.6123958649471409,,,,,
2025-04-01_30d_d168_h3,30,context,2025-03-26T08:00:00Z,2025-03-26T09:00:00Z,2025-03-26,22.88,0.0,19381.0,0.6340976563884354,,,,,
2025-04-01_30d_d168_h3,31,context,2025-03-26T09:00:00Z,2025-03-26T10:00:00Z,2025-03-26,21.59,0.0,17842.0,0.6634346638962969,,,,,
2025-04-01_30d_d168_h3,32,context,2025-03-26T10:00:00Z,2025-03-26T11:00:00Z,2025-03-26,24.88,0.0,16598.0,0.7236900573943018,,,,,
2025-04-01_30d_d168_h3,33,context,2025-03-26T11:00:00Z,2025-03-26T12:00:00Z,2025-03-26,32.72,0.0,15669.0,0.7410144589280073,,,,,
2025-04-01_30d_d168_h3,34,context,2025-03-26T12:00:00Z,2025-03-26T13:00:00Z,2025-03-26,41.53,170.0,14572.0,0.7398167747833916,,,,,
2025-04-01_30d_d168_h3,35,context,2025-03-26T13:00:00Z,2025-03-26T14:00:00Z,2025-03-26,35.41,3436.0,13396.0,0.7355275598496074,,,,,
2025-04-01_30d_d168_h3,36,context,2025-03-26T14:00:00Z,2025-03-26T15:00:00Z,2025-03-26,27.46,8771.0,11977.0,0.6744480336492823,,,,,
2025-04-01_30d_d168_h3,37,context,2025-03-26T15:00:00Z,2025-03-26T16:00:00Z,2025-03-26,24.76,11561.0,13368.0,0.5920131530319559,,,,,
2025-04-01_30d_d168_h3,38,context,2025-03-26T16:00:00Z,2025-03-26T17:00:00Z,2025-03-26,24.67,14393.0,13910.0,0.5227961354909727,,,,,
2025-04-01_30d_d168_h3,39,context,2025-03-26T17:00:00Z,2025-03-26T18:00:00Z,2025-03-26,26.04,16053.0,13920.0,0.4756187858201896,,,,,
2025-04-01_30d_d168_h3,40,context,2025-03-26T18:00:00Z,2025-03-26T19:00:00Z,2025-03-26,31.7,15599.0,14887.0,0.47093402958065056,,,,,
2025-04-01_30d_d168_h3,41,context,2025-03-26T19:00:00Z,2025-03-26T20:00:00Z,2025-03-26,30.99,14666.0,15456.0,0.4953419138533098,,,,,
2025-04-01_30d_d168_h3,42,context,2025-03-26T20:00:00Z,2025-03-26T21:00:00Z,2025-03-26,36.55,13779.0,15282.0,0.5225477428122313,,,,,
2025-04-01_30d_d168_h3,43,context,2025-03-26T21:00:00Z,2025-03-26T22:00:00Z,2025-03-26,39.91,12920.0,15489.0,0.5411762275250914,,,,,
2025-04-01_30d_d168_h3,44,context,2025-03-26T22:00:00Z,2025-03-26T23:00:00Z,2025-03-26,48.61,9966.0,16862.0,0.5734630472985812,,,,,
